,Feature,Importance
32,home_clicks_90,0.032329407
0,variant_id,0.028067091
38,home_clicks_7,0.024846097
1,candidate_set,0.024663499
4,visit_canonical_region,0.022665165
5,event_source,0.020345738
31,l0_cat_1,0.020203006
6,visit_channel,0.02000366
35,home_clicks_30,0.019785704
3,visit_referring_domain,0.019330066
8,rec_top_category,0.018796261
15,top_buyer_type,0.018262474
23,listing_12m_cvr,0.018194167
33,home_favs_90,0.018188741
16,buyer_searches_60d,0.017948478
36,home_favs_30,0.01787566
54,cart_momentum,0.0173963
42,qis_direct_unspecified_90d,0.017094962
34,home_cart_adds_90,0.017022634
13,buyer_gms_last_12m,0.01693164
39,home_favs_7,0.016866062
40,home_cart_adds_7,0.016775822
37,home_cart_adds_30,0.016539428
17,buyer_search_intensity_60d,0.016392084
9,buyer_segment,0.016254928
61,days_since_last_visit_encoded,0.015995244
43,qis_direct_specified_90d,0.01577506
10,buyer_tenure,0.015637394
41,qis_broad_90d,0.015544603
53,click_momentum,0.015378176
55,search_specificity_ratio,0.015364911
45,qis_direct_unspecified_30d,0.015327283
48,qis_direct_unspecified_7d,0.015222705
46,qis_direct_specified_30d,0.015128595
20,listing_is_digital,0.014963216
44,qis_broad_30d,0.014918627
49,qis_direct_specified_7d,0.014868565
2,sequence_number,0.014797261
7,rec_price,0.014790728
11,buyer_is_seller,0.014612672
47,qis_broad_7d,0.014610883
50,cat_match_1,0.014602895
52,price_vs_buyer_capacity,0.013912101
60,sequence_log,0.013594801
14,is_top_buyer,0.013394021
26,seller_avg_listing_price_usd,0.013299786
22,listing_nbr_12m_rating,0.013160178
57,listing_social_proof,0.013142474
30,seller_nbr_12m_rating,0.01284162
56,listing_age_log,0.012824913
